0Zhe,1Zhe,2Zhe,3Zhe,4Zhe
"('file_id_api_emb_13', 882.0)","('file_id_tid_emb_19', 1001.0)","('file_id_tid_emb_41', 924.0)","('file_id_api_emb_30', 1026.0)","('file_id_tid_emb_62', 944.0)"
"('api_unique', 880.0)","('file_id_api_emb_4', 1000.0)","('ProNE_Emb_60', 923.0)","('ntallocatevirtualmemory', 1019.0)","('file_id_tid_emb_63', 942.0)"
"('ProNE_Emb_30', 879.0)","('ProNE_Emb_16', 998.0)","('ProNE_Emb_58', 921.0)","('file_id_tid_emb_36', 1017.0)","('file_id_api_emb_6', 940.0)"
"('file_id_tid_emb_8', 878.0)","('file_id_tid_emb_51', 993.0)","('file_id_api_emb_0', 915.0)","('file_id_tid_emb_44', 1015.0)","('file_id_tid_emb_20', 939.0)"
"('ProNE_Emb_49', 875.0)","('file_id_tid_emb_48', 988.0)","('file_id_tid_emb_43', 913.0)","('ProNE_Emb_46', 1011.0)","('getsystemdirectoryw', 939.0)"
"('ProNE_Emb_45', 874.0)","('file_id_tid_emb_33', 986.0)","('file_id_tid_emb_3', 909.0)","('file_id_tid_emb_27', 1008.0)","('file_id_tid_emb_21', 938.0)"
"('file_id_tid_emb_51', 873.0)","('registerhotkey', 983.0)","('file_id_tid_emb_37', 909.0)","('ProNE_Emb_44', 1003.0)","('registerhotkey', 937.0)"
"('file_id_api_emb_60', 871.0)","('ProNE_Emb_2', 982.0)","('ntallocatevirtualmemory', 909.0)","('ProNE_Emb_30', 999.0)","('file_id_tid_emb_31', 934.0)"
"('tid_counts_ptp', 870.0)","('min_tid_counts', 981.0)","('ProNE_Emb_44', 905.0)","('ProNE_Emb_61', 999.0)","('file_id_tid_emb_35', 934.0)"
"('file_id_tid_emb_7', 870.0)","('file_id_api_emb_51', 981.0)","('file_id_tid_emb_14', 898.0)","('file_id_api_emb_46', 998.0)","('ProNE_Emb_46', 934.0)"
"('tid_ptp', 868.0)","('file_id_tid_emb_54', 980.0)","('file_id_tid_emb_29', 898.0)","('getsystemmetrics', 998.0)","('ProNE_Emb_48', 934.0)"
"('file_id_tid_emb_50', 867.0)","('file_id_api_emb_30', 979.0)","('file_id_api_emb_31', 897.0)","('file_id_tid_emb_37', 992.0)","('file_id_tid_emb_25', 928.0)"
"('ProNE_Emb_18', 867.0)","('file_id_tid_emb_29', 975.0)","('file_id_tid_emb_27', 897.0)","('file_id_tid_emb_31', 989.0)","('ntallocatevirtualmemory', 923.0)"
"('file_id_tid_emb_62', 863.0)","('file_id_api_emb_3', 973.0)","('file_id_tid_emb_38', 897.0)","('ProNE_Emb_62', 989.0)","('file_id_tid_emb_41', 922.0)"
"('file_id_api_emb_56', 862.0)","('getsystemmetrics', 965.0)","('file_id_tid_emb_40', 897.0)","('file_id_tid_emb_38', 988.0)","('file_id_api_emb_45', 919.0)"
"('ProNE_Emb_42', 861.0)","('ProNE_Emb_41', 963.0)","('file_id_tid_emb_52', 895.0)","('file_id_tid_emb_9', 987.0)","('file_id_tid_emb_54', 916.0)"
